rank,fire_name_cause,date,county,acres,structures
1,Camp Fire (Power lines),November 2018,Butte,153336,18804
2,Tubbs (Electrical),October 2017,Napa and Sonoma,36807,5636
3,Tunnel - Oakland Hills (Rekindle),October 1991,Alameda,1600,2900
4,Cedar (Human related),October 2003,San Diego,273246,2820
5,North Complex (Lightning),August 2020,"Butte, Plumas and Yuba",318935,2352
6,Valley (Electrical),September 2015,"Lake, Napa and Sonoma",76067,1955
7,Witch (Power lines),October 2007,San Diego,197990,1650
8,Woolsey (Electrical),November 2018,Ventura,96949,1643
9,Carr (Human related),July 2018,Shasta County and Trinity,229651,1614
10,Glass Fire (Undetermined),September 2020,Napa and Sonoma,67484,1520
